Time	Type	Device name	Error code	Error label
06.03.2020 17:32:14	hard reset	NYC-BAAM-L880	0x0	-
06.03.2020 16:59:03	hard reset	NYC-TACT-L111	0x0	-
06.03.2020 16:57:24	hard reset	NYC-GSO-L115	0x0	-
06.03.2020 16:32:37	hard reset	NYC-PWM-L095	0x0	-
06.03.2020 16:28:55	hard reset	BX-1S6THR2	0x0	-
06.03.2020 16:23:16	hard reset	NYC-FING-L433	0x0	-
06.03.2020 15:55:41	hard reset	LDN-REAL-L665	0x0	-
06.03.2020 15:30:09	hard reset	NYC-GCS-W022	0x0	-
06.03.2020 14:41:58	hard reset	LDN-REAL-L443	0x0	-
06.03.2020 14:33:17	hard reset	NYC-REAL-L115	0x0	-
06.03.2020 14:15:50	hard reset	NYC-BAAM-L819	0x0	-
06.03.2020 14:12:17	hard reset	NYC-TACT-L153	0x0	-
06.03.2020 13:55:40	hard reset	GUR-BXII-L458	0x0	-
06.03.2020 13:42:59	hard reset	NYC-BAAM-L819	0x0	-
06.03.2020 13:39:56	hard reset	NYC-COMP-L135	0x0	-
06.03.2020 13:26:07	hard reset	NYC-FING-L569	0x0	-
06.03.2020 12:50:50	hard reset	NYC-PWM-L199	0x0	-
06.03.2020 12:05:36	hard reset	MUM-REAL-L106	0x0	-
06.03.2020 11:48:55	hard reset	LDN-GSO-L066	0x0	-
06.03.2020 11:42:43	hard reset	NYC-COMP-L174	0x0	-
06.03.2020 11:39:25	hard reset	MUM-REAL-L106	0x0	-
06.03.2020 11:32:13	hard reset	NYC-BXII-L195	0x0	-
06.03.2020 11:20:46	hard reset	NYC-FING-L593	0x0	-
06.03.2020 11:20:44	hard reset	NYC-BXII-L791	0x0	-
06.03.2020 10:42:09	hard reset	NYC-STPG-L149	0x0	-
06.03.2020 10:30:54	hard reset	LDN-TACT-L052	0x0	-
06.03.2020 10:16:39	hard reset	NYC-LOAN-L955	0x0	-
06.03.2020 10:13:41	hard reset	NYC-PEQG-L693	0x0	-
06.03.2020 10:07:33	hard reset	NYC-BISG-L027	0x0	-
06.03.2020 09:58:30	hard reset	NYC-BXII-L272	0x0	-
06.03.2020 09:41:13	hard reset	NYC-REAL-L937	0x0	-
06.03.2020 09:38:12	hard reset	NYC-FING-L537	0x0	-
06.03.2020 09:36:19	hard reset	NYC-COMP-L191	0x0	-
06.03.2020 09:33:48	hard reset	NYC-PODS-L009	0x0	-
